City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,karasjok,69.4719,25.5112,9.12,98,96,5.23,NO,1675304374
111,sitka,57.0531,-135.33,39.09,75,100,6.91,US,1675304374
112,nishihara,26.1842,127.7558,69.85,78,75,5.75,JP,1675304375
113,mahebourg,-20.4081,57.7,76.24,94,40,2.3,MU,1675304375
114,cabra,37.4725,-4.4421,41.85,59,0,3.04,ES,1675304375
115,lazaro cardenas,17.9583,-102.2,74.79,73,3,4.03,MX,1675304376
116,vilhena,-12.7406,-60.1458,68.85,96,100,0.98,BR,1675304319
117,rio grande,-32.035,-52.0986,74.46,83,1,10.29,BR,1675304096
118,chara,56.9064,118.2631,-10.44,80,40,1.63,RU,1675304376
119,kitimat,54.0524,-128.6534,34.18,100,100,1.74,CA,1675304376
120,lavrentiya,65.5833,-171.0,15.04,94,100,6.58,RU,1675304377
121,kerman,30.2832,57.0788,46.26,66,40,2.3,IR,1675304080
122,east london,-33.0153,27.9116,69.37,83,16,12.8,ZA,1675304377
123,tsabong,-26.0217,22.401,75.61,63,97,3.31,BW,1675304377
124,sibolga,1.7427,98.7792,77.2,71,100,2.93,ID,1675304378
125,tukrah,32.5341,20.5791,56.03,66,98,7.36,LY,1675304378
126,geraldton,-28.7667,114.6,100.81,20,0,18.41,AU,1675304378
127,jamestown,42.097,-79.2353,18.99,80,0,8.05,US,1675304215
128,la rioja,42.25,-2.5,24.58,92,8,5.61,ES,1675304379
129,porto-vecchio,41.591,9.2795,45.93,93,75,3.44,FR,1675304379
130,ambon,-3.6954,128.1814,86.14,70,40,8.05,ID,1675304379
131,yuryevets,57.3201,43.1041,23.72,96,100,9.48,RU,1675304380
132,faya,18.3851,42.4509,52.32,62,16,4.9,SA,1675304380
133,kloulklubed,7.0419,134.2556,82.9,74,100,21.85,PW,1675304380
134,saint anthony,45.0205,-93.218,15.42,69,0,5.75,US,1675304381
135,chokurdakh,70.6333,147.9167,-10.3,98,100,3.74,RU,1675304101
136,ilo,-17.6394,-71.3375,72.36,89,62,5.59,PE,1675304381
137,san cristobal,7.7669,-72.225,68.18,87,20,2.06,VE,1675304381
138,marawi,7.9986,124.2928,77.59,71,100,4.18,PH,1675304382
139,dikson,73.5069,80.5464,-5.1,93,97,8.05,RU,1675304382
140,emerald,-23.5333,148.1667,92.34,51,78,7.09,AU,1675304382
141,bertoua,4.5833,13.6833,67.26,47,7,3.98,CM,1675304382
142,lagoa,39.05,-27.9833,56.62,70,4,7.07,PT,1675304383
143,longyearbyen,78.2186,15.6401,12.04,67,20,17.27,SJ,1675304383
144,kunda,25.7167,81.5167,48.25,64,39,7.16,IN,1675304383
145,tongliao,43.6125,122.2653,15.76,33,0,8.57,CN,1675304384
146,namibe,-15.1961,12.1522,71.13,81,100,4.68,AO,1675304384
147,fairbanks,64.8378,-147.7164,12.81,83,100,5.75,US,1675304100
148,tuatapere,-46.1333,167.6833,75.52,59,100,4.25,NZ,1675304385
149,tuktoyaktuk,69.4541,-133.0374,-34.6,67,75,4.61,CA,1675304385
150,rocha,-34.4833,-54.3333,67.95,81,100,6.04,UY,1675304385
151,velizh,55.6056,31.1967,27.46,96,99,9.22,RU,1675304357
152,elliot,-31.3333,27.85,57.61,83,72,2.46,ZA,1675304386
153,concordia,-31.393,-58.0209,87.78,45,15,11.99,AR,1675304386
154,sohag,26.557,31.6948,50.11,62,4,7.02,EG,1675304386
155,paamiut,61.994,-49.6678,11.39,78,94,7.54,GL,1675304387
156,xining,36.6167,101.7667,23.58,43,46,1.14,CN,1675304387
157,husavik,66.0449,-17.3389,21.54,92,100,8.99,IS,1675304387
158,kapaa,22.0752,-159.319,80.92,78,20,9.22,US,1675304388
159,fukue,32.6881,128.8419,52.16,58,75,8.05,JP,1675304388
160,soure,-0.7167,-48.5233,74.28,90,100,1.9,BR,1675304388
161,khatanga,71.9667,102.5,-22.47,95,100,6.29,RU,1675304219
162,alekseyevka,50.6309,38.6903,26.94,96,82,4.83,RU,1675304389
163,boma,7.0805,-2.1697,71.33,91,5,2.89,GH,1675304389
164,alofi,-19.0595,-169.9187,82.29,78,100,14.97,NU,1675304389
165,sjenica,43.2731,19.9994,20.84,95,80,3.78,RS,1675304390
166,fenoarivo atsinanana,-17.3667,49.4167,75.16,90,52,7.11,MG,1675304390
167,adrar,20.5022,-10.0711,60.19,16,100,10.33,MR,1675304212
168,meiganga,6.5167,14.3,68.41,26,3,5.97,CM,1675304390
169,lahaina,20.8783,-156.6825,79.95,86,66,3.78,US,1675304391
170,bambous virieux,-20.3428,57.7575,75.45,94,40,2.3,MU,1675304142
171,souillac,-20.5167,57.5167,75.58,94,40,2.3,MU,1675304391
172,atar,20.5169,-13.0499,68.2,11,100,4.88,MR,1675304391
173,mayo,38.8876,-76.5119,34.95,67,0,5.75,US,1675304392
174,college,64.8569,-147.8028,12.79,84,100,5.75,US,1675304392
175,georgetown,5.4112,100.3354,80.53,78,20,6.91,MY,1675304392
176,lerwick,60.1545,-1.1494,35.6,68,100,6.17,GB,1675304392
177,saint-pierre,-21.3393,55.4781,74.88,69,0,5.75,RE,1675304393
